"subnum","agegrp","age","domain","lose.full","lose.low","lose.med","win.full","win.low","win.med"
1,"Older",68,"arsl",1,1,4,1,1,1
1,"Older",68,"vln",4,4,4,4,4,4
2,"Older",73,"arsl",4,4,4,4,4,4
2,"Older",73,"vln",5,5,4,5,6,4
3,"Older",79,"arsl",3,2,4,2,3,3
3,"Older",79,"vln",5,5,5,5,5,6
4,"Older",77,"arsl",2,1,4,4,4,4
4,"Older",77,"vln",2,3,3,5,5,5
5,"Older",69,"arsl",4,3,1,4,3,3
5,"Older",69,"vln",4,4,3,4,5,4
6,"Older",73,"arsl",4,4,1,4,5,3
6,"Older",73,"vln",3,3,3,5,5,4
7,"Older",74,"arsl",6,5,7,7,5,7
7,"Older",74,"vln",4,4,2,7,5,7
8,"Older",76,"arsl",4,3,4,5,4,6
8,"Older",76,"vln",2,3,2,6,6,7
9,"Older",71,"arsl",4,4,4,4,4,4
9,"Older",71,"vln",2,3,3,6,4,3
10,"Older",69,"arsl",3,3,3,3,4,4
10,"Older",69,"vln",3,4,2,4,5,5
11,"Older",68,"arsl",1,1,1,4,1,3
11,"Older",68,"vln",4,4,4,4,4,4
12,"Older",69,"arsl",1,1,1,7,7,7
12,"Older",69,"vln",1,1,1,1,7,7
13,"Older",70,"arsl",1,1,4,3,1,1
13,"Older",70,"vln",4,4,4,4,4,4
14,"Older",74,"arsl",5,5,7,5,6,7
14,"Older",74,"vln",1,1,1,7,7,7
15,"Older",67,"arsl",7,5,1,7,7,7
15,"Older",67,"vln",1,3,1,7,7,7
16,"Older",72,"arsl",5,3,4,5,4,4
16,"Older",72,"vln",3,4,4,4,5,4
17,"Older",79,"arsl",6,4,4,5,6,6
17,"Older",79,"vln",3,3,3,7,7,7
18,"Older",70,"arsl",1,1,1,4,4,4
18,"Older",70,"vln",2,3,3,6,5,4
19,"Older",69,"arsl",7,7,7,7,7,7
19,"Older",69,"vln",1,1,1,7,7,7
20,"Middle Age",60,"arsl",1,1,2,6,6,6
20,"Middle Age",60,"vln",2,2,2,6,6,6
21,"Younger",25,"arsl",3,3,1,4,5,2
21,"Younger",25,"vln",5,3,5,4,3,3
22,"Middle Age",46,"arsl",4,2,3,6,6,6
22,"Middle Age",46,"vln",1,3,2,7,7,6
23,"Older",69,"arsl",5,4,5,5,5,5
23,"Older",69,"vln",2,3,3,6,6,6
24,"Older",62,"arsl",7,5,6,7,7,7
24,"Older",62,"vln",1,2,1,7,7,7
25,"Older",80,"arsl",6,1,3,6,5,7
25,"Older",80,"vln",2,5,3,6,5,6
26,"Older",79,"arsl",6,3,6,6,7,7
26,"Older",79,"vln",1,3,2,7,7,7
27,"Older",68,"arsl",4,3,3,4,4,3
27,"Older",68,"vln",3,4,4,5,5,4
28,"Older",64,"arsl",7,5,6,4,7,7
28,"Older",64,"vln",1,1,1,5,7,7
29,"Younger",36,"arsl",6,4,5,6,5,5
29,"Younger",36,"vln",6,5,6,7,7,7
30,"Older",67,"arsl",2,2,3,2,3,2
30,"Older",67,"vln",5,4,2,3,5,2
31,"Older",80,"arsl",1,2,1,7,7,7
31,"Older",80,"vln",1,2,1,7,7,7
32,"Older",80,"arsl",5,4,3,5,5,6
32,"Older",80,"vln",5,3,3,5,6,5
33,"Older",72,"arsl",3,3,3,3,3,2
33,"Older",72,"vln",4,3,5,4,4,4
34,"Older",66,"arsl",1,1,1,1,1,1
34,"Older",66,"vln",1,1,1,5,6,6
35,"Older",74,"arsl",5,1,1,7,7,6
35,"Older",74,"vln",3,1,1,7,7,7
36,"Middle Age",56,"arsl",6,5,5,6,6,4
36,"Middle Age",56,"vln",1,2,1,7,7,7
37,"Middle Age",59,"arsl",4,4,4,4,4,4
37,"Middle Age",59,"vln",5,4,5,5,5,5
38,"Middle Age",53,"arsl",1,1,1,7,7,7
38,"Middle Age",53,"vln",1,2,1,4,7,7
39,"Older",63,"arsl",4,4,4,4,4,4
39,"Older",63,"vln",1,1,1,7,7,7
40,"Younger",40,"arsl",4,4,5,4,4,4
40,"Younger",40,"vln",3,3,3,5,5,5
41,"Middle Age",58,"arsl",4,3,4,3,4,4
41,"Middle Age",58,"vln",4,3,3,3,5,4
42,"Older",63,"arsl",6,4,5,7,7,4
42,"Older",63,"vln",2,3,3,7,7,5
43,"Older",75,"arsl",6,5,6,6,6,6
43,"Older",75,"vln",6,5,6,6,6,6
44,"Middle Age",56,"arsl",7,1,3,7,7,7
44,"Middle Age",56,"vln",1,4,3,7,7,7
45,"Older",73,"arsl",5,4,4,5,5,4
45,"Older",73,"vln",3,4,4,5,5,4
46,"Older",70,"arsl",4,4,4,5,5,4
46,"Older",70,"vln",4,4,3,5,5,4
47,"Middle Age",48,"arsl",2,3,2,4,3,3
47,"Middle Age",48,"vln",4,4,4,5,4,4
48,"Younger",36,"arsl",2,1,2,7,7,7
48,"Younger",36,"vln",2,1,2,7,7,7
49,"Younger",33,"arsl",1,1,1,6,7,7
49,"Younger",33,"vln",1,1,1,7,7,7
50,"Middle Age",58,"arsl",1,1,1,7,7,7
50,"Middle Age",58,"vln",1,1,1,7,7,7
51,"Older",77,"arsl",7,1,4,6,7,5
51,"Older",77,"vln",7,1,2,7,7,7
52,"Older",69,"arsl",3,4,5,4,6,5
52,"Older",69,"vln",1,1,2,7,7,6
53,"Younger",38,"arsl",1,1,2,7,7,7
53,"Younger",38,"vln",1,1,1,7,7,7
54,"Younger",34,"arsl",4,1,4,4,7,4
54,"Younger",34,"vln",4,1,4,4,7,4
55,"Older",60,"arsl",3,2,4,1,4,4
55,"Older",60,"vln",3,3,3,4,5,4
56,"Older",76,"arsl",7,7,7,7,7,7
56,"Older",76,"vln",1,1,1,7,7,7
57,"Older",76,"arsl",6,5,6,7,7,6
57,"Older",76,"vln",7,5,1,7,7,7
58,"Older",74,"arsl",7,5,7,7,7,5
58,"Older",74,"vln",1,3,1,7,7,6
59,"Middle Age",52,"arsl",2,3,3,2,5,5
59,"Middle Age",52,"vln",1,3,2,3,6,6
60,"Younger",25,"arsl",4,4,4,3,4,4
60,"Younger",25,"vln",4,4,4,4,4,4
61,"Older",61,"arsl",7,6,6,7,7,7
61,"Older",61,"vln",2,3,2,7,7,7
62,"Younger",35,"arsl",5,3,5,5,5,6
62,"Younger",35,"vln",4,3,4,5,5,6
63,"Middle Age",42,"arsl",6,7,1,1,1,1
63,"Middle Age",42,"vln",2,5,7,7,7,7
64,"Older",67,"arsl",1,1,1,5,5,5
64,"Older",67,"vln",2,1,2,6,6,6
65,"Older",60,"arsl",3,3,4,6,4,5
65,"Older",60,"vln",2,4,5,5,4,5
66,"Younger",33,"arsl",7,7,4,7,7,7
66,"Younger",33,"vln",6,6,3,7,7,7
67,"Younger",25,"arsl",4,4,4,4,4,4
67,"Younger",25,"vln",4,4,4,4,4,4
68,"Younger",37,"arsl",1,1,1,1,1,1
68,"Younger",37,"vln",4,3,4,4,5,6
69,"Older",62,"arsl",4,4,4,4,4,4
69,"Older",62,"vln",3,3,3,5,5,5
70,"Older",72,"arsl",6,7,6,5,6,6
70,"Older",72,"vln",5,3,6,6,5,6
71,"Older",78,"arsl",2,3,4,4,2,4
71,"Older",78,"vln",2,3,2,6,5,6
72,"Older",68,"arsl",2,2,2,3,3,4
72,"Older",68,"vln",2,2,2,3,3,5
73,"Middle Age",56,"arsl",1,1,1,5,6,6
73,"Middle Age",56,"vln",1,1,1,6,6,6
74,"Older",73,"arsl",2,1,3,2,2,2
74,"Older",73,"vln",3,4,3,6,5,5
75,"Middle Age",50,"arsl",5,3,4,6,6,4
75,"Middle Age",50,"vln",5,4,4,6,5,4
76,"Older",74,"arsl",5,4,3,7,6,6
76,"Older",74,"vln",1,1,1,6,6,7
77,"Middle Age",58,"arsl",1,1,1,1,1,1
77,"Middle Age",58,"vln",4,4,4,4,4,4
78,"Older",62,"arsl",4,1,1,7,7,6
78,"Older",62,"vln",5,4,1,7,7,7
79,"Middle Age",55,"arsl",7,6,7,1,1,1
79,"Middle Age",55,"vln",1,2,2,7,7,7
80,"Younger",35,"arsl",3,4,4,7,7,7
80,"Younger",35,"vln",3,4,3,7,7,7
81,"Older",68,"arsl",1,1,1,1,1,2
81,"Older",68,"vln",5,4,4,1,5,6
82,"Older",68,"arsl",6,4,3,5,5,5
82,"Older",68,"vln",1,2,1,7,7,6
83,"Older",63,"arsl",4,3,4,5,5,5
83,"Older",63,"vln",5,4,5,6,5,6
84,"Older",67,"arsl",4,4,3,6,5,5
84,"Older",67,"vln",3,4,3,6,5,5
85,"Middle Age",51,"arsl",3,6,6,7,6,5
85,"Middle Age",51,"vln",1,1,1,7,7,7
86,"Younger",35,"arsl",1,1,3,1,3,1
86,"Younger",35,"vln",5,4,6,4,5,4
87,"Older",73,"arsl",5,5,5,5,6,6
87,"Older",73,"vln",3,5,3,6,6,6
88,"Older",67,"arsl",1,1,1,4,5,1
88,"Older",67,"vln",1,1,3,7,4,4
89,"Older",65,"arsl",3,4,4,5,5,5
89,"Older",65,"vln",2,3,2,6,6,6
90,"Older",64,"arsl",1,1,1,7,7,7
90,"Older",64,"vln",1,1,1,7,7,7
91,"Older",80,"arsl",5,5,5,6,5,4
91,"Older",80,"vln",1,5,2,7,6,5
92,"Younger",29,"arsl",1,2,2,7,7,7
92,"Younger",29,"vln",1,1,2,7,7,7
93,"Middle Age",59,"arsl",3,1,5,7,7,5
93,"Middle Age",59,"vln",2,1,4,7,7,7
94,"Middle Age",57,"arsl",1,2,5,7,4,7
94,"Middle Age",57,"vln",1,2,2,7,5,7
95,"Younger",30,"arsl",6,7,6,7,7,7
95,"Younger",30,"vln",7,7,7,6,7,6
96,"Older",74,"arsl",5,5,5,5,5,5
96,"Older",74,"vln",2,2,1,6,6,6
97,"Older",66,"arsl",2,1,2,5,6,4
97,"Older",66,"vln",2,3,3,6,7,6
98,"Younger",35,"arsl",6,7,4,7,7,7
98,"Younger",35,"vln",1,1,1,7,7,7
99,"Middle Age",49,"arsl",2,2,2,2,4,2
99,"Middle Age",49,"vln",3,3,2,6,6,6
100,"Younger",34,"arsl",1,2,1,7,7,7
100,"Younger",34,"vln",1,2,1,7,7,7
101,"Middle Age",44,"arsl",7,6,6,7,7,5
101,"Middle Age",44,"vln",1,1,2,7,7,5
102,"Middle Age",59,"arsl",1,1,1,1,1,1
102,"Middle Age",59,"vln",1,1,1,7,6,7
103,"Older",65,"arsl",1,1,4,2,3,2
103,"Older",65,"vln",1,2,4,6,6,4
104,"Middle Age",54,"arsl",3,4,4,2,4,4
104,"Middle Age",54,"vln",3,3,3,4,5,5
105,"Middle Age",59,"arsl",7,7,4,7,7,7
105,"Middle Age",59,"vln",1,1,3,7,7,7
106,"Younger",31,"arsl",3,2,2,3,2,3
106,"Younger",31,"vln",4,4,4,5,4,4
107,"Younger",35,"arsl",3,1,1,7,6,6
107,"Younger",35,"vln",2,2,2,7,5,6
108,"Middle Age",43,"arsl",1,7,1,7,7,7
108,"Middle Age",43,"vln",1,4,1,7,7,7
109,"Middle Age",55,"arsl",4,5,2,6,5,5
109,"Middle Age",55,"vln",2,2,2,6,7,6
110,"Middle Age",57,"arsl",1,2,1,3,4,3
110,"Middle Age",57,"vln",2,2,4,5,5,5
111,"Younger",39,"arsl",2,4,4,7,7,6
111,"Younger",39,"vln",1,1,1,7,7,7
112,"Middle Age",56,"arsl",1,1,1,7,7,7
112,"Middle Age",56,"vln",1,4,1,7,7,7
113,"Older",69,"arsl",5,3,6,5,6,5
113,"Older",69,"vln",1,3,1,7,7,6
114,"Middle Age",59,"arsl",1,1,1,1,1,1
114,"Middle Age",59,"vln",4,4,4,4,4,4
115,"Middle Age",58,"arsl",1,1,1,1,1,1
115,"Middle Age",58,"vln",3,3,4,4,5,5
116,"Younger",30,"arsl",5,5,5,5,5,5
116,"Younger",30,"vln",2,2,2,6,6,6
117,"Middle Age",40,"arsl",7,6,7,7,7,7
117,"Middle Age",40,"vln",5,6,6,6,7,5
118,"Middle Age",51,"arsl",5,5,5,6,4,4
118,"Middle Age",51,"vln",3,3,3,6,5,5
119,"Middle Age",41,"arsl",7,7,6,7,6,7
119,"Middle Age",41,"vln",2,2,1,7,7,1
120,"Younger",30,"arsl",4,7,7,6,7,7
120,"Younger",30,"vln",1,3,7,7,7,7
121,"Younger",30,"arsl",3,4,4,7,7,7
121,"Younger",30,"vln",6,6,7,7,7,7
122,"Older",68,"arsl",6,5,2,6,6,5
122,"Older",68,"vln",6,5,6,6,6,5
123,"Middle Age",42,"arsl",5,5,5,5,5,5
123,"Middle Age",42,"vln",5,5,5,5,5,5
124,"Middle Age",47,"arsl",4,4,4,4,4,4
124,"Middle Age",47,"vln",4,4,4,4,4,4
125,"Younger",25,"arsl",7,7,7,7,7,7
125,"Younger",25,"vln",7,6,7,7,7,6
126,"Younger",30,"arsl",7,7,7,7,7,7
126,"Younger",30,"vln",7,7,7,7,7,7
127,"Younger",35,"arsl",4,4,3,3,3,4
127,"Younger",35,"vln",4,4,6,4,5,4
128,"Middle Age",42,"arsl",4,4,4,4,4,4
128,"Middle Age",42,"vln",4,4,4,4,4,4
129,"Middle Age",40,"arsl",7,7,7,7,7,7
129,"Middle Age",40,"vln",1,1,1,7,7,7
130,"Middle Age",41,"arsl",7,7,7,7,7,7
130,"Middle Age",41,"vln",2,2,3,6,6,6
131,"Younger",27,"arsl",1,1,1,7,7,7
131,"Younger",27,"vln",1,1,7,7,7,7
132,"Middle Age",46,"arsl",1,1,1,3,1,1
132,"Middle Age",46,"vln",4,4,3,4,4,5
133,"Younger",21,"arsl",2,1,1,4,5,4
133,"Younger",21,"vln",6,1,1,5,5,4
134,"Middle Age",48,"arsl",6,6,6,6,6,5
134,"Middle Age",48,"vln",7,6,4,7,6,7
135,"Younger",36,"arsl",1,1,2,1,1,1
135,"Younger",36,"vln",2,3,3,6,7,6
136,"Younger",36,"arsl",2,3,2,6,6,6
136,"Younger",36,"vln",2,3,2,6,6,6
137,"Younger",30,"arsl",6,7,6,7,5,5
137,"Younger",30,"vln",6,7,7,7,3,6
138,"Middle Age",56,"arsl",2,1,1,7,7,7
138,"Middle Age",56,"vln",1,1,1,7,7,7
139,"Younger",30,"arsl",7,7,7,7,7,7
139,"Younger",30,"vln",7,7,7,7,7,7
140,"Middle Age",49,"arsl",2,3,3,4,3,4
140,"Middle Age",49,"vln",4,4,4,4,4,4
141,"Younger",25,"arsl",2,1,2,2,2,2
141,"Younger",25,"vln",4,4,4,4,4,4
142,"Younger",20,"arsl",2,4,3,7,5,6
142,"Younger",20,"vln",1,2,2,7,6,7
143,"Younger",25,"arsl",4,1,7,5,7,5
143,"Younger",25,"vln",4,1,5,5,5,5
144,"Younger",30,"arsl",7,7,7,6,7,7
144,"Younger",30,"vln",7,7,7,6,7,7
145,"Younger",24,"arsl",3,4,1,7,6,7
145,"Younger",24,"vln",1,3,1,7,5,7
146,"Middle Age",57,"arsl",1,1,1,1,1,1
146,"Middle Age",57,"vln",7,7,7,7,7,7
147,"Younger",38,"arsl",1,1,2,1,3,1
147,"Younger",38,"vln",4,4,4,4,4,4
148,"Middle Age",50,"arsl",4,5,4,6,6,5
148,"Middle Age",50,"vln",4,2,4,7,7,7
149,"Middle Age",40,"arsl",2,2,2,3,5,4
149,"Middle Age",40,"vln",2,3,3,6,6,5
150,"Younger",38,"arsl",2,4,4,4,4,4
150,"Younger",38,"vln",2,2,3,4,5,4
151,"Middle Age",57,"arsl",4,4,4,5,5,5
151,"Middle Age",57,"vln",4,4,4,5,5,5
152,"Younger",25,"arsl",7,6,6,7,7,6
152,"Younger",25,"vln",6,7,7,6,7,7
153,"Younger",20,"arsl",3,2,3,2,4,5
153,"Younger",20,"vln",3,2,3,5,5,5
154,"Middle Age",58,"arsl",7,4,5,7,6,7
154,"Middle Age",58,"vln",1,2,2,7,6,6
155,"Middle Age",50,"arsl",1,1,1,7,6,5
155,"Middle Age",50,"vln",1,1,1,7,6,5
156,"Younger",23,"arsl",1,1,1,1,1,1
156,"Younger",23,"vln",4,4,4,4,4,4
157,"Younger",27,"arsl",1,4,3,5,5,4
157,"Younger",27,"vln",1,2,1,7,7,6
158,"Younger",30,"arsl",7,5,7,7,1,7
158,"Younger",30,"vln",7,5,7,7,1,7
159,"Younger",38,"arsl",2,2,2,7,6,7
159,"Younger",38,"vln",2,2,2,7,7,7
160,"Middle Age",45,"arsl",7,5,5,6,5,6
160,"Middle Age",45,"vln",1,3,3,6,6,6
161,"Middle Age",48,"arsl",1,1,4,7,7,7
161,"Middle Age",48,"vln",1,4,4,7,7,7
162,"Middle Age",45,"arsl",6,2,3,5,5,6
162,"Middle Age",45,"vln",2,1,3,6,5,6
163,"Middle Age",47,"arsl",7,5,6,7,7,7
163,"Middle Age",47,"vln",1,1,1,7,7,7
164,"Middle Age",50,"arsl",1,1,1,1,1,4
164,"Middle Age",50,"vln",2,4,2,4,6,4
165,"Younger",30,"arsl",1,1,1,1,1,1
165,"Younger",30,"vln",3,3,3,5,4,6
166,"Younger",25,"arsl",7,1,1,7,7,7
166,"Younger",25,"vln",6,1,1,7,7,7
167,"Younger",34,"arsl",2,4,3,3,4,4
167,"Younger",34,"vln",6,1,6,6,7,5
168,"Middle Age",54,"arsl",2,2,2,3,2,2
168,"Middle Age",54,"vln",2,3,3,6,6,5
169,"Middle Age",47,"arsl",1,1,1,7,7,7
169,"Middle Age",47,"vln",1,1,1,7,7,7
170,"Younger",25,"arsl",2,3,3,5,7,2
170,"Younger",25,"vln",4,2,3,5,6,1
171,"Middle Age",58,"arsl",1,2,2,7,7,6
171,"Middle Age",58,"vln",1,3,1,7,7,6
172,"Middle Age",54,"arsl",4,5,1,4,4,3
172,"Middle Age",54,"vln",3,3,4,5,4,4
173,"Middle Age",43,"arsl",4,6,2,6,3,3
173,"Middle Age",43,"vln",5,6,7,6,5,7
174,"Middle Age",48,"arsl",5,4,5,6,4,4
174,"Middle Age",48,"vln",1,3,2,6,6,5
175,"Younger",25,"arsl",7,7,7,7,7,7
175,"Younger",25,"vln",7,7,6,7,7,7
176,"Middle Age",43,"arsl",5,4,5,5,5,5
176,"Middle Age",43,"vln",2,3,3,5,5,5
177,"Middle Age",42,"arsl",1,1,1,1,1,1
177,"Middle Age",42,"vln",4,4,1,7,7,7
178,"Younger",38,"arsl",4,4,5,4,4,5
178,"Younger",38,"vln",4,4,5,4,4,5
179,"Middle Age",43,"arsl",1,1,1,1,1,1
179,"Middle Age",43,"vln",4,4,4,4,4,4
180,"Younger",25,"arsl",5,2,4,5,4,3
180,"Younger",25,"vln",2,4,2,6,5,5
181,"Younger",25,"arsl",3,3,3,5,4,4
181,"Younger",25,"vln",2,2,3,6,5,5
182,"Younger",29,"arsl",5,5,5,6,6,7
182,"Younger",29,"vln",2,3,6,6,6,7
183,"Middle Age",55,"arsl",3,4,2,4,4,3
183,"Middle Age",55,"vln",2,2,2,4,2,2
184,"Middle Age",45,"arsl",2,2,1,7,6,7
184,"Middle Age",45,"vln",3,2,1,7,7,7
185,"Middle Age",47,"arsl",5,5,5,6,7,7
185,"Middle Age",47,"vln",1,1,1,7,7,7
186,"Middle Age",40,"arsl",2,4,3,3,3,4
186,"Middle Age",40,"vln",7,4,6,6,6,6
187,"Younger",20,"arsl",4,4,4,4,4,3
187,"Younger",20,"vln",3,4,4,4,5,4
188,"Younger",25,"arsl",3,4,4,4,4,4
188,"Younger",25,"vln",4,4,4,4,4,4
189,"Middle Age",46,"arsl",7,6,6,6,6,6
189,"Middle Age",46,"vln",7,3,2,6,6,6
190,"Younger",24,"arsl",4,4,4,4,4,4
190,"Younger",24,"vln",4,4,4,4,4,4
191,"Middle Age",45,"arsl",5,6,4,5,3,3
191,"Middle Age",45,"vln",4,4,4,6,4,4
192,"Younger",28,"arsl",4,2,6,6,6,3
192,"Younger",28,"vln",4,4,6,4,6,4
193,"Younger",25,"arsl",1,4,3,6,7,5
193,"Younger",25,"vln",4,1,2,7,7,6
194,"Middle Age",48,"arsl",2,3,3,5,3,6
194,"Middle Age",48,"vln",2,3,3,5,2,5
195,"Older",78,"arsl",5,3,4,5,5,4
195,"Older",78,"vln",3,3,4,5,5,5
196,"Older",70,"arsl",7,1,7,1,1,7
196,"Older",70,"vln",2,1,1,7,7,7
197,"Younger",22,"arsl",6,3,2,5,4,4
197,"Younger",22,"vln",1,1,2,7,7,7
198,"Younger",28,"arsl",4,2,4,5,5,2
198,"Younger",28,"vln",4,2,4,7,6,7
199,"Younger",29,"arsl",5,1,6,5,5,5
199,"Younger",29,"vln",5,4,2,5,5,5
200,"Younger",25,"arsl",1,2,2,7,7,7
200,"Younger",25,"vln",2,3,3,7,7,7
201,"Younger",21,"arsl",7,7,7,7,7,7
201,"Younger",21,"vln",7,7,7,7,7,7
202,"Younger",21,"arsl",6,3,7,7,5,7
202,"Younger",21,"vln",1,1,2,7,7,7
203,"Younger",20,"arsl",6,5,6,7,6,6
203,"Younger",20,"vln",1,2,1,7,7,7
204,"Younger",28,"arsl",4,4,4,4,2,4
204,"Younger",28,"vln",3,3,3,5,4,5
