"subnum","agegrp","age","a.full","h.full","s.full","a.low","h.low","s.low","a.med","h.med","s.med"
1,"Younger","29",2.75,2.4,1.25,2.8,3.4,3,2.66666666666667,2.5,2.33333333333333
2,"Middle Age","53",3.2,4.75,3.4,2.66666666666667,5.33333333333333,4,3.25,5.5,3.6
3,"Older","67",1.83333333333333,6.2,3,2,4.83333333333333,3,1.6,5.5,3
4,"Middle Age","40",2.33333333333333,6.2,2.33333333333333,2.33333333333333,5.4,2.75,2.5,5.25,2.2
5,"Older","60",3.33333333333333,4.75,3.2,3,4.75,3.75,3,5.33333333333333,1.8
6,"Older","60",2.16666666666667,7,2,2.25,6.6,3,1.75,7,2.2
7,"Older","61",2.66666666666667,6.4,3.25,3.8,3.8,3.25,3.4,4.6,3.2
8,"Older","76",1,7,1.5,2.16666666666667,6.66666666666667,1.75,1.4,6.83333333333333,1.25
9,"Older","71",2,6.25,1.8,2.66666666666667,6,1.8,2,6,1.83333333333333
10,"Younger","25",2.2,5.75,2.25,2.75,5.2,2.66666666666667,2.4,5.4,2.33333333333333
11,"Older","66",2.66666666666667,5.2,2.66666666666667,3,5,2.83333333333333,3,5,2.8
12,"Younger","30",4.6,3.66666666666667,5,3.4,3.5,3.5,3.33333333333333,4,4.33333333333333
13,"Older","66",1.33333333333333,6,2.8,2,5.16666666666667,3.16666666666667,1.75,5.75,2.5
14,"Older","73",1.6,6.6,3,3,5.6,3.66666666666667,3.2,6.33333333333333,3.66666666666667
15,"Older","70",2,6.5,3,3.2,5,3.4,2.6,6,3.25
16,"Younger","37",2,5.75,2.66666666666667,3.66666666666667,4,2.6,2.75,4.5,3.6
17,"Older","70",2.2,6.5,2.2,3,5,2.66666666666667,2.2,5.5,2.2
18,"Middle Age","52",1,5.8,1.16666666666667,1.25,6.33333333333333,2.6,1.6,5,2.75
19,"Middle Age","50",1,5.25,2.6,2,5.25,3.8,1.75,5.2,3.33333333333333
20,"Older","71",2.4,5.33333333333333,2.5,3,5,3,2.33333333333333,5,3
21,"Older","68",1.8,6.8,2.5,3,5.5,3.2,2.5,5.33333333333333,2.66666666666667
22,"Younger","35",1,1,1,1.75,1,1.66666666666667,1,1.83333333333333,1.16666666666667
23,"Older","73",4,4,4,3.4,4.25,4.2,4,5,3.83333333333333
24,"Younger","26",3.8,3.25,2.5,4.4,3.8,4,3.5,4.2,3.4
25,"Older","64",1.8,6.2,2.2,2,5.6,2.33333333333333,2.2,6,2.25
26,"Older","74",2,5.83333333333333,2.33333333333333,3,5,2.75,2.83333333333333,5.8,2.83333333333333
27,"Middle Age","43",2.25,6.83333333333333,3.5,3,5,3.83333333333333,2.25,6.2,3.5
28,"Middle Age","47",3.75,4.6,3.5,4,4,4,4,5,4
29,"Younger","35",1.25,4.4,2.2,1.6,3.16666666666667,1.8,1.4,4.25,2.4
30,"Older","68",3.2,6.5,3,3.16666666666667,5.2,3.6,2.2,6.33333333333333,2.75
31,"Younger","38",1.2,6.8,1.5,2.5,6.25,2.66666666666667,1.16666666666667,6.33333333333333,2
32,"Older","70",1.66666666666667,6.5,2.75,3.4,5.25,3.33333333333333,2.66666666666667,5.25,3.16666666666667
33,"Older","66",1,6.8,1.25,1.66666666666667,6,2.16666666666667,1.5,6.25,1.8
34,"Middle Age","54",1,7,1.33333333333333,1.33333333333333,7,1.5,1,7,1.6
35,"Younger","38",1.75,6,1.66666666666667,3,5.2,2.2,2.16666666666667,6,1.8
36,"Older","66",1.25,6.4,1.6,3.5,5.16666666666667,3.25,2,6.2,3
37,"Middle Age","50",1,7,1,1.2,6.83333333333333,1.16666666666667,1,6.6,1
38,"Middle Age","47",2.5,6.75,3.2,2.2,6.6,4.4,2.16666666666667,6.25,3.8
39,"Middle Age","58",1.2,5.83333333333333,2.66666666666667,1.75,4.8,3.33333333333333,1.2,5,2
40,"Middle Age","48",2.33333333333333,5.5,2.2,3.16666666666667,4,2.5,2.25,5.6,2.5
41,"Older","68",3.75,5,3.6,3.8,4.33333333333333,3.33333333333333,3.4,5,3
42,"Older","75",4,5.6,3.66666666666667,3.66666666666667,4.8,3.5,3.5,5.25,3
43,"Older","71",4,5.33333333333333,4,3.6,5.25,4,4,5,4
44,"Younger","30",4,4,4,3.66666666666667,4,4,4,4,4
45,"Middle Age","56",3,5,3,3.25,4.8,3.25,2.8,4.66666666666667,3.2
46,"Middle Age","40",2,6.66666666666667,2.25,3.16666666666667,6,2.83333333333333,2.66666666666667,5.4,1.75
47,"Younger","33",3.16666666666667,5.6,2.66666666666667,3.66666666666667,3.5,3.2,3,5,2.8
48,"Middle Age","48",1.33333333333333,6.6,2.33333333333333,3.5,5,3.33333333333333,2.2,5.25,2.33333333333333
49,"Younger","30",4,4,4,3.8,3.4,3.75,3.25,4.2,3.5
50,"Middle Age","46",2.66666666666667,6,2.83333333333333,3.5,4.8,3.8,2.83333333333333,5.4,3
51,"Older","70",2.5,7,2.4,3.4,7,4.2,2.83333333333333,7,3.4
52,"Younger","30",2.83333333333333,5.16666666666667,2.66666666666667,3,5.4,3.2,2.66666666666667,5.25,2.66666666666667
53,"Younger","31",2.83333333333333,4.2,3.83333333333333,3.83333333333333,3.8,4,3.25,4.4,4
54,"Middle Age","47",1,7,1,1,7,1,1,7,1
55,"Middle Age","42",1.66666666666667,6.66666666666667,1.75,2,5.83333333333333,2.6,2.2,7,2.83333333333333
56,"Younger","21",2.4,6,2.4,2.66666666666667,4.6,3.16666666666667,2,6,2.5
57,"Younger","30",2.16666666666667,5.75,2,3.5,4.25,3.4,3.5,5.33333333333333,3.16666666666667
58,"Older","73",2.2,3.66666666666667,1.75,3.5,3.6,2.5,2.8,3.5,3
59,"Younger","24",4.2,2.5,2.66666666666667,2.16666666666667,4.2,3.4,3.6,4.75,3.4
60,"Younger","33",3.8,4.66666666666667,5.75,4.4,4.33333333333333,6,5,4.5,5
61,"Older","72",1.75,5.33333333333333,2,2.8,4.8,2,2.2,5.66666666666667,1.8
62,"Younger","29",4,4.66666666666667,2.83333333333333,3.16666666666667,4.4,4.75,3.5,3.4,3.8
63,"Younger","38",4,NA,NA,4,NA,NA,4,NA,NA
63,"Middle Age","38",NA,4,4,NA,4,4,NA,4,4
64,"Older","70",1.6,7,2,2.4,6.4,2.66666666666667,1.8,6.33333333333333,2.66666666666667
65,"Middle Age","40",3.5,6.4,3.2,2.66666666666667,6.25,3.5,2.5,6,2.33333333333333
66,"Younger","30",2.83333333333333,6,3.25,2.75,4.4,3.6,2.6,5.16666666666667,3
67,"Middle Age","40",3.5,6,3.4,2.8,5.4,3.5,3,5.5,2.66666666666667
68,"Middle Age","47",1,1,1,1.25,1,1,1,1.2,1
69,"Younger","29",5.4,5.5,5.66666666666667,6.25,6.25,5.4,5.33333333333333,5.83333333333333,5.6
70,"Younger","30",3,4.4,3.4,3,5.83333333333333,3.25,3,4.4,3
71,"Younger","36",4,5,4,3.75,5.5,4.8,4.5,5.8,3.66666666666667
72,"Younger","23",4,4,3.6,3.66666666666667,4.4,4.33333333333333,3.6,4.2,4
73,"Middle Age","42",2.33333333333333,6.16666666666667,2.75,3,4.5,3.33333333333333,2.66666666666667,5.83333333333333,4
74,"Younger","24",4.33333333333333,3.75,2,2.8,3.6,3.4,3.83333333333333,3.66666666666667,4
75,"Younger","23",3.25,4.75,3.8,3.8,2.75,2.5,2.66666666666667,3.83333333333333,3.16666666666667
76,"Younger","28",2.8,3.5,1.5,2,3,1.8,1.33333333333333,4.2,2.2
77,"Middle Age","54",2.6,5.8,2.33333333333333,3,5,3,2.66666666666667,5.6,2.6
78,"Older","65",1.5,6.83333333333333,1.83333333333333,1.4,5.75,2.33333333333333,1.25,6.2,2.5
79,"Middle Age","41",2.5,6,4,3,5.2,4,3.4,5.4,4
80,"Younger","23",2.4,5.2,2.75,3.66666666666667,4.2,3.5,2.5,5.16666666666667,3.33333333333333
81,"Middle Age","53",2.2,6,2.16666666666667,3.6,5.2,3.5,3,4.6,2.33333333333333
82,"Younger","27",4.25,5,4.5,4.6,4.8,4.6,4,4.83333333333333,4.16666666666667
83,"Middle Age","57",1.4,6.8,1.25,2.5,5,2.5,2.6,6.2,1.5
84,"Younger","21",4.5,4.6,4.83333333333333,4.66666666666667,4,4.25,3.25,3.6,3
85,"Middle Age","55",2.2,6.8,2.5,3.25,5.5,3.2,2.6,6.2,3
86,"Middle Age","54",3,3.6,3.16666666666667,3.5,3.33333333333333,4,3,4,4
87,"Middle Age","47",1.66666666666667,7,1.4,2.66666666666667,5.5,3.2,2,6.33333333333333,3
88,"Older","60",2.8,6.4,3.6,2.75,5.25,3.33333333333333,3.2,5.66666666666667,3.4
89,"Middle Age","53",1,6.75,1,1.4,5,2.16666666666667,2.5,3.75,1
90,"Older","70",1.8,6.75,2.75,2.83333333333333,5,3.6,2.4,6,3.33333333333333
91,"Middle Age","48",1.16666666666667,7,3,3.2,5.2,2.75,2.4,6.2,2.6
92,"Younger","24",1.75,6.5,1.6,1.8,5.33333333333333,2.4,2.2,5.33333333333333,2
93,"Middle Age","50",3.16666666666667,3.83333333333333,4,2.4,3.66666666666667,1.8,4,3.66666666666667,3.75
94,"Older","62",1.5,6.83333333333333,2,3,5.83333333333333,2.8,2.6,6.25,1.66666666666667
95,"Older","64",1,1,1,1,1.2,1,1,1.25,1
96,"Middle Age","58",2.75,6,NA,3.25,5,NA,2.83333333333333,6,NA
96,"Older","58",NA,NA,2.8,NA,NA,3,NA,NA,2.75
97,"Middle Age","56",1,1.5,1.25,1.66666666666667,1.16666666666667,1.83333333333333,2.6,1.5,1.2
98,"Older","86 or older",1.33333333333333,5,3,2,4,1.83333333333333,2,4.83333333333333,2.16666666666667
99,"Younger","21",1.5,7,3.25,1.4,5.8,2.6,1,7,1.5
100,"Younger","27",1.75,7,1.8,1.6,6.83333333333333,1.83333333333333,1.8,6.8,1.66666666666667
