"subnum2","age","X115_a_full_arsl","X115_a_full_vln","X115_a_full_nat","X115_a_low_arsl","X115_a_low_vln","X115_a_low_nat","X115_a_med_arsl","X115_a_med_vln","X115_a_med_nat","X115_h_full_arsl","X115_h_full_vln","X115_h_full_nat","X115_h_low_arsl","X115_h_low_vln","X115_h_low_nat","X115_h_med_arsl","X115_h_med_vln","X115_h_med_nat","X115_s_full_arsl","X115_s_full_vln","X115_s_full_nat","X115_s_low_arsl","X115_s_low_vln","X115_s_low_nat","X115_s_med_arsl","X115_s_med_vln","X115_s_med_nat","X118_a_full_arsl","X118_a_full_vln","X118_a_full_nat","X118_a_low_arsl","X118_a_low_vln","X118_a_low_nat","X118_a_med_arsl","X118_a_med_vln","X118_a_med_nat","X118_h_full_arsl","X118_h_full_vln","X118_h_full_nat","X118_h_low_arsl","X118_h_low_vln","X118_h_low_nat","X118_h_med_arsl","X118_h_med_vln","X118_h_med_nat","X118_s_full_arsl","X118_s_full_vln","X118_s_full_nat","X118_s_low_arsl","X118_s_low_vln","X118_s_low_nat","X118_s_med_arsl","X118_s_med_vln","X118_s_med_nat","X43_a_full_arsl","X43_a_full_vln","X43_a_full_nat","X43_a_low_arsl","X43_a_low_vln","X43_a_low_nat","X43_a_med_arsl","X43_a_med_vln","X43_a_med_nat","X43_h_full_arsl","X43_h_full_vln","X43_h_full_nat","X43_h_low_arsl","X43_h_low_vln","X43_h_low_nat","X43_h_med_arsl","X43_h_med_vln","X43_h_med_nat","X43_s_full_arsl","X43_s_full_vln","X43_s_full_nat","X43_s_low_arsl","X43_s_low_vln","X43_s_low_nat","X43_s_med_arsl","X43_s_med_vln","X43_s_med_nat","X86_a_full_arsl","X86_a_full_vln","X86_a_full_nat","X86_a_low_arsl","X86_a_low_vln","X86_a_low_nat","X86_a_med_arsl","X86_a_med_vln","X86_a_med_nat","X86_h_full_arsl","X86_h_full_vln","X86_h_full_nat","X86_h_low_arsl","X86_h_low_vln","X86_h_low_nat","X86_h_med_arsl","X86_h_med_vln","X86_h_med_nat","X86_s_full_arsl","X86_s_full_vln","X86_s_full_nat","X86_s_low_arsl","X86_s_low_vln","X86_s_low_nat","X86_s_med_arsl","X86_s_med_vln","X86_s_med_nat","X87_a_full_arsl","X87_a_full_vln","X87_a_full_nat","X87_a_low_arsl","X87_a_low_vln","X87_a_low_nat","X87_a_med_arsl","X87_a_med_vln","X87_a_med_nat","X87_h_full_arsl","X87_h_full_vln","X87_h_full_nat","X87_h_low_arsl","X87_h_low_vln","X87_h_low_nat","X87_h_med_arsl","X87_h_med_vln","X87_h_med_nat","X87_s_full_arsl","X87_s_full_vln","X87_s_full_nat","X87_s_low_arsl","X87_s_low_vln","X87_s_low_nat","X87_s_med_arsl","X87_s_med_vln","X87_s_med_nat","X89_a_full_arsl","X89_a_full_vln","X89_a_full_nat","X89_a_low_arsl","X89_a_low_vln","X89_a_low_nat","X89_a_med_arsl","X89_a_med_vln","X89_a_med_nat","X89_h_full_arsl","X89_h_full_vln","X89_h_full_nat","X89_h_low_arsl","X89_h_low_vln","X89_h_low_nat","X89_h_med_arsl","X89_h_med_vln","X89_h_med_nat","X89_s_full_arsl","X89_s_full_vln","X89_s_full_nat","X89_s_low_arsl","X89_s_low_vln","X89_s_low_nat","X89_s_med_arsl","X89_s_med_vln","X89_s_med_nat"
1,70,3,4,4,4,4,4,1,2,4,7,7,2,4,4,3,6,6,3,1,4,2,1,3,4,1,4,4,1,1,2,2,3,4,1,2,4,4,4,4,2,4,4,4,4,3,2,3,4,1,4,6,2,1,4,1,1,2,1,1,3,1,1,5,7,7,2,5,6,4,5,6,4,1,1,4,1,4,3,1,4,2,1,1,6,5,5,4,3,4,4,7,7,2,1,4,4,7,6,4,1,4,2,1,1,3,1,1,4,4,6,2,1,1,3,1,1,7,7,7,3,4,4,5,6,6,5,1,2,4,3,4,3,1,1,4,1,1,7,2,2,4,1,1,3,7,7,2,6,6,5,6,6,4,1,1,4,2,2,3,1,4,5
2,53,2,3,3,2,3,3,2,3,4,3,7,2,2,6,2,3,7,2,2,2,3,2,3,2,2,3,3,3,2,3,2,3,3,3,2,4,3,7,2,2,6,3,3,6,2,2,2,3,1,2,6,2,2,2,2,2,4,2,2,3,2,2,3,3,7,2,2,6,3,2,6,2,2,1,3,2,2,3,2,2,3,3,3,2,3,6,2,3,2,2,3,7,2,3,6,2,4,7,2,2,1,3,2,2,3,3,2,3,2,1,4,2,2,3,2,2,3,3,7,2,2,6,2,3,6,2,2,1,4,2,3,4,3,2,4,2,1,4,2,2,3,2,2,4,2,7,2,3,6,2,3,7,2,2,2,4,2,3,4,3,3,3
3,29,1,4,5,2,3,6,4,4,4,7,6,2,4,5,2,6,5,3,4,4,4,4,4,3,3,4,5,3,3,3,2,4,3,4,4,5,6,6,2,6,5,2,7,7,2,1,3,4,2,2,6,2,2,5,3,4,7,1,2,6,2,2,7,7,4,2,6,5,4,5,6,5,4,4,5,1,1,6,1,4,6,1,4,5,7,5,3,1,3,4,7,6,5,5,5,3,6,5,2,1,3,6,1,4,5,1,2,7,1,3,7,2,3,5,1,1,4,7,5,3,5,6,5,6,4,4,2,4,6,1,4,4,1,3,6,2,4,3,2,1,4,1,1,7,7,7,2,6,5,5,7,7,2,2,1,5,2,3,3,1,1,7
4,62,1,1,7,2,2,4,1,1,7,7,7,2,5,5,5,7,7,2,5,3,6,4,4,5,1,2,6,1,1,7,1,2,4,2,2,6,5,6,3,5,5,5,6,6,3,4,3,6,4,4,4,1,1,7,2,2,6,3,3,4,1,1,7,7,7,2,3,5,4,7,7,2,2,2,6,3,3,5,1,1,3,1,1,7,6,7,3,1,1,7,7,7,2,6,6,5,7,7,2,1,1,4,1,2,6,1,1,7,1,1,7,1,1,6,1,1,6,7,7,2,6,6,4,7,7,2,1,1,3,3,3,4,1,3,4,1,1,7,2,2,5,1,1,6,7,7,2,7,7,5,7,7,2,1,2,5,3,4,4,3,4,5
5,39,1,4,3,2,2,4,1,3,4,7,6,5,6,5,5,7,6,5,3,2,4,1,2,3,2,3,4,1,2,4,1,1,4,2,3,4,6,6,7,1,6,4,5,6,3,2,3,4,2,2,3,1,2,4,1,1,3,2,3,4,4,3,5,7,5,4,7,4,3,7,6,4,1,2,3,2,2,4,1,2,7,1,2,4,2,6,4,3,2,3,7,6,6,7,3,4,7,6,5,1,2,4,2,3,4,2,2,4,1,1,4,2,3,4,1,2,4,7,6,4,3,5,4,5,6,5,1,2,4,3,2,4,3,5,5,3,3,4,2,2,3,1,2,4,7,7,3,2,6,4,7,6,4,2,2,4,1,1,4,1,3,4
6,27,4,4,3,4,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,5,4,4,4,4,4,3,4,4,3,4,4,4,4,4,3,4,4,5,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,4,4,4,4,4,4,3,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4
7,55,6,1,6,3,2,2,6,1,4,5,7,3,2,6,2,5,6,2,3,2,2,1,3,4,2,3,5,7,1,2,5,2,2,6,2,3,6,7,3,3,6,4,5,6,3,5,2,3,5,1,4,5,2,6,3,1,4,4,3,4,5,2,6,6,7,2,2,6,2,6,7,2,6,2,5,1,3,4,4,2,5,7,1,6,5,6,2,4,2,3,7,7,2,1,6,3,6,7,2,7,1,3,6,1,2,5,2,3,7,1,2,6,2,4,7,1,2,6,7,2,2,5,2,4,6,2,6,1,5,1,2,3,4,2,6,7,1,2,3,2,3,4,2,4,5,7,2,2,7,3,6,6,2,3,3,6,1,2,6,1,3,6
8,28,3,2,6,4,4,6,4,5,4,7,7,2,5,3,3,6,5,3,5,2,5,3,2,4,4,2,4,4,4,4,5,4,5,4,4,5,7,7,2,6,5,4,3,3,4,5,3,5,3,5,3,5,2,4,6,5,3,5,5,3,5,1,6,6,7,2,5,2,6,2,5,3,5,5,5,3,3,5,5,5,4,4,4,4,7,7,2,4,4,3,4,4,4,4,4,3,4,5,5,5,5,5,4,4,3,5,2,4,4,3,4,4,4,4,6,1,6,4,5,4,3,5,3,5,5,4,4,4,2,5,4,3,4,4,3,3,1,6,4,4,5,3,5,5,4,4,4,5,2,6,4,4,4,5,3,6,5,3,3,5,4,3
9,42,1,4,4,4,5,5,5,6,6,6,4,3,5,4,6,4,3,4,1,1,4,3,4,6,2,4,6,2,6,3,5,4,6,6,4,4,5,5,6,5,5,6,3,3,5,4,4,6,4,6,6,5,5,5,5,3,5,4,4,5,3,5,6,6,6,5,3,5,4,7,4,5,1,1,7,5,6,6,4,3,4,3,4,5,3,5,4,6,4,3,4,6,6,3,3,4,3,4,6,1,1,7,2,4,3,5,4,4,5,4,3,3,4,5,4,4,5,4,4,6,1,5,6,5,4,4,1,4,5,2,3,4,4,6,6,1,1,5,2,3,4,4,7,5,2,4,6,2,6,5,4,4,3,4,5,4,4,5,3,4,5,4
10,48,6,2,3,5,3,4,5,3,3,4,6,3,4,5,7,4,5,7,6,3,2,5,3,3,2,3,6,7,1,2,3,3,3,6,1,3,5,6,7,3,4,6,2,5,7,5,3,3,6,2,3,5,2,3,6,2,3,6,2,4,5,2,2,6,6,5,5,5,4,4,6,7,5,2,4,5,3,3,3,3,6,6,2,3,2,4,6,6,2,2,6,6,6,5,5,4,1,5,5,5,2,6,5,2,5,4,4,6,2,3,6,5,3,6,6,1,3,1,2,7,4,5,6,3,6,7,5,1,2,2,4,6,4,3,6,4,2,6,6,2,3,5,2,4,5,6,7,2,4,7,4,5,7,6,2,5,1,4,3,5,3,4
11,35,3,4,3,7,5,5,7,4,5,7,7,2,7,5,3,7,4,3,7,4,3,7,7,2,7,5,4,7,7,4,7,4,3,1,4,4,4,4,4,3,4,3,3,4,4,7,4,6,7,4,5,7,7,2,4,4,4,7,4,3,7,4,3,7,4,3,7,4,3,7,7,3,1,7,3,4,4,3,7,7,6,4,4,4,7,4,3,7,4,6,4,5,5,7,4,3,7,4,5,2,3,4,7,4,3,1,5,3,7,5,3,7,7,3,1,4,6,7,7,2,7,7,3,3,4,3,7,7,3,7,4,6,7,5,3,7,5,4,4,4,5,7,4,3,3,4,4,7,2,3,4,4,4,4,4,4,4,4,4,3,4,3
12,68,1,3,6,1,2,6,2,3,7,5,6,2,5,7,2,4,7,3,2,5,6,4,3,6,2,5,6,2,1,6,2,4,5,2,2,6,2,3,6,1,2,6,2,5,6,1,2,6,1,2,6,1,1,6,1,6,5,5,3,4,2,2,6,3,6,5,3,5,3,3,5,3,2,4,6,2,2,4,1,5,6,1,1,6,3,6,4,1,2,6,4,6,6,2,2,3,4,6,2,2,3,6,2,3,6,3,3,4,2,2,7,1,5,4,1,3,6,4,6,3,4,7,2,4,5,3,1,3,3,2,3,6,2,3,6,1,2,6,2,5,6,1,2,6,4,6,3,4,6,3,5,6,3,1,1,6,3,5,4,2,3,6
13,66,1,4,6,4,4,6,4,4,6,5,6,4,5,6,3,5,5,3,3,4,6,2,3,6,3,3,4,6,2,5,4,4,3,3,3,6,4,4,4,4,5,6,5,1,7,5,2,3,1,4,6,3,3,6,4,3,6,4,4,5,4,4,5,5,5,4,3,2,7,5,6,3,5,2,4,3,3,4,3,2,4,3,3,4,5,6,3,3,4,4,6,7,2,6,6,3,4,6,4,2,3,6,3,3,6,5,3,6,1,4,7,5,2,3,1,3,6,5,6,3,3,3,2,5,5,4,1,4,7,3,4,6,4,3,6,2,1,7,3,3,6,1,3,7,6,7,2,6,7,2,5,6,4,1,2,6,1,1,7,1,3,7
14,62,6,6,3,3,4,5,4,4,5,3,6,2,3,6,5,5,7,2,3,4,5,4,5,5,4,5,4,4,5,5,1,4,5,4,4,4,3,5,4,2,4,5,1,1,6,1,4,5,3,5,3,4,5,5,3,3,7,1,3,5,4,4,5,4,6,3,3,5,2,3,3,3,4,3,6,5,5,5,3,5,5,5,7,2,2,5,5,1,4,6,5,7,2,4,6,3,6,7,2,4,6,2,3,3,3,5,5,5,5,2,6,3,4,4,1,2,6,6,7,2,5,7,2,4,5,3,4,5,6,1,1,6,3,4,5,3,3,7,5,5,4,5,5,5,3,6,2,5,7,2,4,5,5,1,1,7,3,4,4,1,3,6
15,21,4,4,6,6,3,6,6,3,5,5,4,5,4,3,6,5,3,6,3,6,3,4,4,4,5,6,3,4,2,6,5,3,6,5,3,6,6,3,6,5,6,5,5,3,6,4,5,5,6,2,6,6,3,6,5,3,4,5,5,6,5,4,4,6,3,6,5,3,6,5,3,6,7,2,7,5,3,6,5,5,6,5,3,6,5,2,6,5,2,7,5,4,6,3,6,3,6,1,7,6,2,6,6,2,7,7,2,6,5,4,6,6,4,6,5,2,7,4,5,6,6,4,7,5,2,6,7,1,7,6,2,6,5,3,6,5,4,4,5,3,6,7,1,7,5,3,6,5,5,6,5,2,6,5,2,6,6,2,6,6,1,7
16,26,2,4,6,5,3,5,3,4,6,3,2,6,2,5,7,3,6,4,6,7,5,3,1,7,6,4,4,5,7,5,6,2,7,4,1,7,6,3,5,4,1,3,4,4,6,5,4,3,6,4,2,1,6,6,2,7,5,6,4,6,6,7,6,5,2,2,3,4,6,4,5,3,5,7,6,6,6,4,3,1,3,4,6,4,6,4,7,6,7,5,5,3,2,3,5,6,3,5,3,5,3,2,5,4,6,5,7,5,2,4,2,4,1,6,3,4,4,2,4,4,3,1,6,2,4,6,6,7,6,6,7,6,7,4,3,5,7,2,6,1,6,5,3,2,5,4,4,4,1,3,5,7,3,3,5,3,2,4,3,3,5,6
17,65,1,4,6,1,4,4,1,4,7,1,6,3,1,5,3,1,6,3,1,4,6,1,4,6,1,4,6,1,3,6,1,4,5,1,4,3,1,2,7,1,4,4,1,4,5,1,4,3,1,3,4,1,2,6,1,1,7,1,5,3,1,1,7,1,4,6,1,4,3,1,5,3,1,2,7,1,3,4,1,3,6,1,1,7,1,4,6,1,4,3,1,5,3,1,5,3,1,5,3,1,3,7,1,4,6,1,3,6,1,2,7,1,4,7,1,1,7,1,6,3,1,5,3,1,6,3,1,2,7,1,4,6,1,3,6,1,4,7,1,2,6,1,4,7,1,6,5,1,6,3,1,5,3,1,3,7,1,3,5,1,3,6
18,47,1,2,3,1,2,3,1,2,3,2,6,3,1,6,4,2,6,3,1,2,3,1,2,3,3,6,3,1,2,3,1,6,3,1,6,3,1,6,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,7,3,1,6,3,1,6,3,1,2,3,1,2,3,2,2,3,1,2,3,2,2,3,1,2,3,1,2,3,1,6,3,1,6,3,1,2,3,1,6,3,1,2,3,1,2,3,1,2,3,1,2,3,1,6,3,2,6,3,2,2,3,1,1,3,1,2,3,1,6,3,1,2,3,1,2,3,1,6,3,1,5,3,1,6,3,1,7,3,1,6,3,1,2,3,1,6,3
19,42,2,2,6,2,2,5,2,3,6,5,5,3,5,6,5,2,1,5,2,2,6,2,2,6,1,1,7,3,3,6,2,2,6,2,2,7,3,1,7,2,3,6,2,2,6,2,3,5,1,3,6,1,2,6,2,2,6,3,2,6,2,2,6,2,2,6,5,5,5,2,5,6,4,4,3,2,3,6,2,4,3,3,2,7,2,2,6,2,2,6,6,5,2,5,5,4,3,2,6,3,2,6,3,2,6,2,1,6,2,2,6,2,2,6,3,3,6,6,6,3,2,1,6,5,6,5,2,2,7,3,2,5,2,2,6,2,2,6,2,2,6,2,2,6,2,1,6,2,1,6,6,5,4,2,2,6,2,2,6,2,2,6
20,67,1,2,7,3,3,5,1,2,7,7,6,3,7,5,2,7,5,2,3,2,5,2,3,5,2,3,6,2,3,6,2,3,5,1,2,6,6,5,3,6,5,4,7,5,2,2,3,6,3,3,4,1,2,6,1,1,7,3,2,5,1,2,7,6,5,3,5,4,4,6,5,4,1,2,5,3,2,5,2,3,4,1,2,7,6,5,3,1,2,7,7,6,2,6,5,2,5,3,2,3,4,3,2,3,5,3,5,3,1,2,7,2,3,4,1,2,6,7,6,3,6,4,4,7,5,6,1,3,6,2,3,5,1,3,7,1,1,7,1,2,6,1,2,7,7,5,3,7,5,2,7,2,4,2,3,7,3,5,5,1,2,7
21,23,4,1,2,4,3,5,4,4,5,5,6,3,3,4,3,6,2,4,1,3,5,3,2,4,3,4,3,2,4,6,4,3,6,4,7,4,7,6,3,5,6,5,5,3,5,6,3,7,5,3,2,1,2,6,3,1,5,3,3,5,3,3,4,7,6,2,5,5,3,4,6,3,2,2,3,4,4,3,5,5,4,6,3,5,5,4,3,1,2,5,5,6,3,4,4,3,5,6,3,3,1,4,4,3,4,3,2,3,1,1,3,5,1,3,1,3,5,4,5,3,6,3,4,5,5,5,2,2,3,3,2,3,3,4,2,1,1,6,4,4,5,2,3,4,7,7,2,3,5,5,5,5,3,2,2,4,2,2,3,2,3,3
22,28,3,3,7,1,2,7,1,1,4,7,7,2,5,5,4,7,7,3,4,4,5,4,5,5,3,4,4,1,1,6,3,2,6,4,4,4,7,5,3,4,5,5,5,5,5,1,1,6,2,3,6,4,4,3,1,1,7,1,1,7,2,2,6,7,7,2,7,7,2,4,4,4,3,2,3,4,5,5,2,2,3,1,1,6,5,5,4,3,4,4,7,7,2,7,7,5,7,7,2,1,2,6,2,4,5,4,5,5,1,1,5,1,1,3,1,6,5,7,7,2,7,7,2,7,7,2,4,5,5,2,2,5,3,3,4,1,1,7,2,2,5,1,7,7,7,7,2,7,7,5,7,7,3,3,3,4,3,3,6,4,4,4
23,69,5,2,5,4,3,4,5,2,6,7,7,2,4,4,3,5,6,3,5,3,4,5,3,5,3,2,6,7,1,6,4,3,5,5,2,5,6,7,2,4,4,4,5,4,4,5,3,5,5,3,3,5,3,5,6,1,6,5,3,5,5,3,4,7,7,2,5,5,4,5,6,3,6,1,3,3,3,6,5,3,5,7,1,6,5,6,3,5,2,5,7,7,2,5,6,3,5,6,3,7,1,5,5,2,4,4,3,4,7,1,2,5,2,4,6,2,6,6,7,2,5,5,4,6,6,3,5,2,6,4,3,4,3,3,6,7,1,6,4,2,3,6,2,6,7,7,2,5,5,4,6,7,3,5,2,6,3,3,6,4,3,5
24,65,7,1,7,6,2,6,6,2,6,7,7,2,4,7,2,6,7,3,6,2,6,2,3,6,6,3,6,7,1,7,2,3,5,3,2,6,6,6,5,4,6,3,6,6,4,6,3,4,1,4,3,4,2,6,7,1,7,5,1,7,7,1,7,7,7,3,3,6,3,6,6,3,6,1,7,4,3,6,5,1,7,7,1,7,6,6,3,6,2,7,7,7,2,4,5,3,6,6,3,7,1,7,7,1,7,4,2,7,7,1,7,4,2,6,6,2,6,7,7,2,6,6,3,6,6,3,7,1,7,2,3,6,4,2,6,7,1,7,6,2,7,4,2,6,7,7,3,6,7,2,6,6,3,6,2,7,4,3,6,1,3,5
25,42,1,1,7,1,1,7,1,1,7,7,7,2,7,7,2,7,7,2,1,1,7,1,1,7,1,4,4,1,1,7,1,1,7,1,1,7,7,7,2,7,7,2,7,7,2,1,1,7,1,4,6,1,1,7,1,1,7,1,1,7,1,1,7,7,7,2,7,7,2,7,7,2,7,1,7,1,1,7,1,1,7,2,1,7,7,7,2,1,1,7,7,7,2,7,7,2,7,7,2,1,1,7,1,1,7,1,1,7,1,1,7,1,1,7,1,1,7,7,7,7,7,7,2,7,7,2,1,1,7,1,4,6,1,4,6,1,1,2,1,1,7,1,1,7,7,7,2,7,7,2,7,7,2,1,1,7,1,4,6,1,1,7
26,66,5,3,3,5,3,3,3,2,4,6,7,2,3,5,5,6,5,3,5,3,3,1,4,3,1,3,3,4,3,3,4,3,3,4,3,3,7,7,3,5,5,3,7,7,2,2,4,3,2,2,3,5,3,5,4,3,4,1,3,3,5,3,3,7,7,3,5,5,3,6,7,3,6,2,3,1,4,3,4,3,3,5,3,3,3,7,2,5,3,3,7,7,3,5,5,3,7,7,2,5,2,3,5,3,3,4,2,4,7,1,3,3,2,5,5,2,3,6,6,6,1,4,2,6,6,3,5,3,4,3,4,3,4,3,4,6,1,3,1,3,3,5,2,3,7,7,3,5,6,7,5,6,6,4,3,3,1,4,3,2,4,3
27,55,7,1,7,1,1,7,7,1,7,7,7,2,7,7,2,7,7,2,5,6,6,1,1,7,1,1,7,1,1,7,6,1,7,2,1,7,7,7,2,6,7,3,7,7,2,7,1,7,1,1,7,1,1,7,7,1,7,7,1,7,1,1,7,7,7,2,6,6,3,6,6,3,1,1,7,2,3,6,2,3,6,7,1,7,7,7,2,1,1,7,7,7,2,5,7,2,7,7,2,1,1,7,3,3,6,6,2,6,7,1,7,7,1,7,1,1,7,3,7,2,6,6,3,1,4,7,1,1,7,1,3,6,2,3,6,1,1,7,1,1,7,7,1,7,4,7,2,7,7,2,7,7,2,1,2,6,3,3,6,1,1,7
28,78,3,5,5,3,4,4,3,5,2,4,6,3,3,5,4,3,5,2,4,5,3,3,4,3,4,6,5,3,4,4,3,4,4,3,4,3,3,4,3,3,4,3,3,4,4,3,4,5,3,3,6,3,4,3,3,4,4,4,4,5,4,4,5,3,4,4,3,5,3,3,4,4,3,2,6,3,4,5,3,4,4,3,3,5,3,4,3,3,4,4,4,6,3,3,5,3,3,5,4,3,4,4,3,3,6,3,4,4,4,4,6,3,5,4,3,3,6,4,6,3,3,6,4,4,7,3,3,6,3,3,5,3,3,4,6,3,4,4,3,5,5,3,5,4,3,4,3,3,6,3,3,6,7,3,4,3,3,3,4,3,4,5
29,39,1,1,3,3,4,5,1,1,7,3,4,5,2,2,3,1,4,4,1,1,6,2,2,6,1,1,2,1,1,7,4,4,5,1,7,5,4,5,5,4,5,5,4,4,4,1,1,2,1,1,2,1,1,6,1,1,6,1,1,2,1,1,2,2,2,3,2,2,3,3,4,4,1,1,7,1,1,7,1,1,2,2,2,5,3,4,4,2,3,6,1,4,4,3,4,4,3,4,4,1,1,6,1,1,6,1,1,6,2,2,3,4,4,3,1,1,6,6,6,3,4,5,5,3,3,4,3,4,5,3,4,5,1,1,2,1,1,3,3,3,4,1,1,7,7,7,3,3,4,4,4,4,5,1,1,6,3,4,3,1,1,5
30,30,6,1,6,2,3,5,4,5,5,7,6,3,3,4,4,5,5,5,5,5,4,1,1,7,1,2,6,3,4,6,3,3,7,6,3,5,7,7,3,3,5,2,6,4,3,4,4,6,2,3,4,4,3,4,7,1,3,3,2,3,5,3,6,7,7,3,3,3,6,5,6,3,5,5,4,1,2,6,5,6,4,7,1,2,4,5,5,3,4,4,7,7,2,6,7,2,6,7,5,5,4,4,5,7,4,5,3,6,7,1,3,1,2,6,4,3,4,5,6,2,5,6,5,5,5,3,4,2,2,1,3,7,2,3,5,5,2,3,2,2,6,6,6,3,7,7,2,3,5,3,6,6,3,4,3,5,2,1,6,3,4,4
